entity,orig_node,final_node,node_reduce,orig_arc,final_arc,arc_reduce,orig_sdArc,final_sdArc,sdArc_reduce
I05P49,3,3,0%,2,2,0%,2,2,0%
I05P50,3,3,0%,2,2,0%,2,2,0%
I05P51,3,3,0%,2,2,0%,2,2,0%
I05P52,3,3,0%,2,2,0%,2,2,0%
I05P53,3,3,0%,2,2,0%,2,2,0%
I05P54,3,3,0%,2,2,0%,2,2,0%
I05P55,3,3,0%,2,2,0%,2,2,0%
I05P56,3,3,0%,2,2,0%,2,2,0%
I05P57,3,3,0%,2,2,0%,2,2,0%
I05P58,3,3,0%,2,2,0%,2,2,0%
I05P59,3,3,0%,2,2,0%,2,2,0%
I05P60,3,3,0%,2,2,0%,2,2,0%
I05P61,3,3,0%,2,2,0%,2,2,0%
I05P62,3,3,0%,2,2,0%,2,2,0%
I05P63,3,3,0%,2,2,0%,2,2,0%
I05P64,3,3,0%,2,2,0%,2,2,0%
I05P65,3,3,0%,2,2,0%,2,2,0%
I05P66,3,3,0%,2,2,0%,2,2,0%
I05P67,3,3,0%,2,2,0%,2,2,0%
I05P68,3,3,0%,2,2,0%,2,2,0%
I05P69,3,3,0%,2,2,0%,2,2,0%
I05P70,3,3,0%,2,2,0%,2,2,0%
I05P71,3,3,0%,2,2,0%,2,2,0%
I05P72,3,3,0%,2,2,0%,2,2,0%
I05P73,3,3,0%,2,2,0%,2,2,0%
I05P74,3,3,0%,2,2,0%,2,2,0%
I05P75,3,3,0%,2,2,0%,2,2,0%
I05P76,3,3,0%,2,2,0%,2,2,0%
I05P77,3,3,0%,2,2,0%,2,2,0%
I05P78,3,3,0%,2,2,0%,2,2,0%
I05P79,3,3,0%,2,2,0%,2,2,0%
I05P80,3,3,0%,2,2,0%,2,2,0%
I05P81,3,3,0%,2,2,0%,2,2,0%
I05P82,3,3,0%,2,2,0%,2,2,0%
I05P83,3,3,0%,2,2,0%,2,2,0%
I05P84,3,3,0%,2,2,0%,2,2,0%
I05P85,3,3,0%,2,2,0%,2,2,0%
I05P86,3,3,0%,2,2,0%,2,2,0%
I05P87,3,3,0%,2,2,0%,2,2,0%
I05P88,3,3,0%,2,2,0%,2,2,0%
I05P89,3,3,0%,2,2,0%,2,2,0%
I05P90,3,3,0%,2,2,0%,2,2,0%
I05P91,3,3,0%,2,2,0%,2,2,0%
I05P92,3,3,0%,2,2,0%,2,2,0%
I05P93,3,3,0%,2,2,0%,2,2,0%
I05P94,3,3,0%,2,2,0%,2,2,0%
I05P95,3,3,0%,2,2,0%,2,2,0%
I06P00,3,3,0%,2,2,0%,2,2,0%
I06P01,3,3,0%,2,2,0%,2,2,0%
I06P02,3,3,0%,2,2,0%,2,2,0%
I06P03,3,3,0%,2,2,0%,2,2,0%
I06P04,3,3,0%,2,2,0%,2,2,0%
I06P05,3,3,0%,2,2,0%,2,2,0%
I06P06,3,3,0%,2,2,0%,2,2,0%
I06P07,3,3,0%,2,2,0%,2,2,0%
I06P08,3,3,0%,2,2,0%,2,2,0%
I06P09,3,3,0%,2,2,0%,2,2,0%
I06P10,3,3,0%,2,2,0%,2,2,0%
I06P11,3,3,0%,2,2,0%,2,2,0%
I06P12,3,3,0%,2,2,0%,2,2,0%
I06P13,3,3,0%,2,2,0%,2,2,0%
I06P14,3,3,0%,2,2,0%,2,2,0%
I06P15,3,3,0%,2,2,0%,2,2,0%
I06P16,3,3,0%,2,2,0%,2,2,0%
I06P17,3,3,0%,2,2,0%,2,2,0%
I06P18,3,3,0%,2,2,0%,2,2,0%
I06P19,3,3,0%,2,2,0%,2,2,0%
I06P20,3,3,0%,2,2,0%,2,2,0%
I06P21,3,3,0%,2,2,0%,2,2,0%
I06P22,3,3,0%,2,2,0%,2,2,0%
I06P23,3,3,0%,2,2,0%,2,2,0%
I06P24,3,3,0%,2,2,0%,2,2,0%
I06P25,3,3,0%,2,2,0%,2,2,0%
I06P26,3,3,0%,2,2,0%,2,2,0%
I06P27,3,3,0%,2,2,0%,2,2,0%
I06P28,3,3,0%,2,2,0%,2,2,0%
I06P29,3,3,0%,2,2,0%,2,2,0%
I06P30,3,3,0%,2,2,0%,2,2,0%
I06P31,3,3,0%,2,2,0%,2,2,0%
I06P32,3,3,0%,2,2,0%,2,2,0%
I06P33,3,3,0%,2,2,0%,2,2,0%
I06P34,3,3,0%,2,2,0%,2,2,0%
I06P35,3,3,0%,2,2,0%,2,2,0%
I06P36,3,3,0%,2,2,0%,2,2,0%
I06P37,3,3,0%,2,2,0%,2,2,0%
I06P38,3,3,0%,2,2,0%,2,2,0%
I06P39,3,3,0%,2,2,0%,2,2,0%
I06P40,3,3,0%,2,2,0%,2,2,0%
I06P41,3,3,0%,2,2,0%,2,2,0%
I06P42,3,3,0%,2,2,0%,2,2,0%
I06P43,3,3,0%,2,2,0%,2,2,0%
I06P44,3,3,0%,2,2,0%,2,2,0%
I06P45,3,3,0%,2,2,0%,2,2,0%
I06P46,3,3,0%,2,2,0%,2,2,0%
I06P47,3,3,0%,2,2,0%,2,2,0%
I06P48,3,3,0%,2,2,0%,2,2,0%
I06P49,3,3,0%,2,2,0%,2,2,0%
I06P50,3,3,0%,2,2,0%,2,2,0%
I06P51,3,3,0%,2,2,0%,2,2,0%
I06P52,3,3,0%,2,2,0%,2,2,0%
I06P53,3,3,0%,2,2,0%,2,2,0%
I06P54,3,3,0%,2,2,0%,2,2,0%
I06P55,3,3,0%,2,2,0%,2,2,0%
I06P56,3,3,0%,2,2,0%,2,2,0%
I06P57,3,3,0%,2,2,0%,2,2,0%
I07P00,4,4,0%,4,4,0%,2,2,0%
